section,rank,metric,concept,value,extra
top_pagerank_concepts,12,pagerank,british,0.001355,
top_pagerank_concepts,13,pagerank,season,0.001144,
top_pagerank_concepts,14,pagerank,u s,0.001083,
top_pagerank_concepts,15,pagerank,september,0.001067,
top_pagerank_concepts,16,pagerank,members,0.001043,
top_pagerank_concepts,17,pagerank,year,0.001015,
top_pagerank_concepts,18,pagerank,2010,0.001013,
top_pagerank_concepts,19,pagerank,october,0.000990,
top_pagerank_concepts,20,pagerank,australia,0.000965,
passage_concept_count_distribution,,num_passages,,13,concept_count=0; fraction=0.003182
passage_concept_count_distribution,,num_passages,,84,concept_count=1; fraction=0.020563
passage_concept_count_distribution,,num_passages,,178,concept_count=2; fraction=0.043574
passage_concept_count_distribution,,num_passages,,346,concept_count=3; fraction=0.084700
passage_concept_count_distribution,,num_passages,,460,concept_count=4; fraction=0.112607
passage_concept_count_distribution,,num_passages,,574,concept_count=5; fraction=0.140514
passage_concept_count_distribution,,num_passages,,514,concept_count=6; fraction=0.125826
passage_concept_count_distribution,,num_passages,,440,concept_count=7; fraction=0.107711
passage_concept_count_distribution,,num_passages,,353,concept_count=8; fraction=0.086414
passage_concept_count_distribution,,num_passages,,280,concept_count=9; fraction=0.068543
passage_concept_count_distribution,,num_passages,,215,concept_count=10; fraction=0.052632
passage_concept_count_distribution,,num_passages,,167,concept_count=11; fraction=0.040881
passage_concept_count_distribution,,num_passages,,139,concept_count=12; fraction=0.034027
passage_concept_count_distribution,,num_passages,,88,concept_count=13; fraction=0.021542
passage_concept_count_distribution,,num_passages,,69,concept_count=14; fraction=0.016891
passage_concept_count_distribution,,num_passages,,42,concept_count=15; fraction=0.010282
passage_concept_count_distribution,,num_passages,,32,concept_count=16; fraction=0.007834
passage_concept_count_distribution,,num_passages,,22,concept_count=17; fraction=0.005386
passage_concept_count_distribution,,num_passages,,10,concept_count=18; fraction=0.002448
passage_concept_count_distribution,,num_passages,,9,concept_count=19; fraction=0.002203
passage_concept_count_distribution,,num_passages,,18,concept_count=20; fraction=0.004406
passage_concept_count_distribution,,num_passages,,2,concept_count=21; fraction=0.000490
passage_concept_count_distribution,,num_passages,,5,concept_count=22; fraction=0.001224
passage_concept_count_distribution,,num_passages,,6,concept_count=23; fraction=0.001469
passage_concept_count_distribution,,num_passages,,3,concept_count=24; fraction=0.000734
passage_concept_count_distribution,,num_passages,,1,concept_count=26; fraction=0.000245
passage_concept_count_distribution,,num_passages,,1,concept_count=27; fraction=0.000245
passage_concept_count_distribution,,num_passages,,1,concept_count=28; fraction=0.000245
passage_concept_count_distribution,,num_passages,,3,concept_count=29; fraction=0.000734
passage_concept_count_distribution,,num_passages,,1,concept_count=30; fraction=0.000245
passage_concept_count_distribution,,num_passages,,3,concept_count=33; fraction=0.000734
passage_concept_count_distribution,,num_passages,,1,concept_count=34; fraction=0.000245
passage_concept_count_distribution,,num_passages,,1,concept_count=36; fraction=0.000245
passage_concept_count_distribution,,num_passages,,1,concept_count=39; fraction=0.000245
passage_concept_count_distribution,,num_passages,,1,concept_count=42; fraction=0.000245
passage_concept_count_distribution,,num_passages,,1,concept_count=50; fraction=0.000245
passage_concept_count_distribution,,num_passages,,1,concept_count=56; fraction=0.000245
